1.1494 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
294.6660 	EXP 	window1: blendMode = 'avg'
294.6815 	EXP 	window1: blendMode = 'avg'
294.6983 	EXP 	window1: blendMode = 'avg'
294.7152 	EXP 	window1: blendMode = 'avg'
294.7315 	EXP 	window1: blendMode = 'avg'
294.7480 	EXP 	window1: blendMode = 'avg'
294.7648 	EXP 	window1: blendMode = 'avg'
294.7813 	EXP 	window1: blendMode = 'avg'
294.7974 	EXP 	window1: blendMode = 'avg'
294.8145 	EXP 	window1: blendMode = 'avg'
294.8306 	EXP 	window1: blendMode = 'avg'
294.8475 	EXP 	window1: blendMode = 'avg'
294.8646 	EXP 	window1: blendMode = 'avg'
294.8812 	EXP 	window1: blendMode = 'avg'
294.8981 	EXP 	window1: blendMode = 'avg'
294.9145 	EXP 	window1: blendMode = 'avg'
294.9312 	EXP 	window1: blendMode = 'avg'
294.9474 	EXP 	window1: blendMode = 'avg'
294.9639 	EXP 	window1: blendMode = 'avg'
294.9807 	EXP 	window1: blendMode = 'avg'
294.9975 	EXP 	window1: blendMode = 'avg'
295.0141 	EXP 	window1: blendMode = 'avg'
295.0306 	EXP 	window1: blendMode = 'avg'
295.0474 	EXP 	window1: blendMode = 'avg'
295.0640 	EXP 	window1: blendMode = 'avg'
295.0820 	EXP 	window1: blendMode = 'avg'
295.0975 	EXP 	window1: blendMode = 'avg'
295.1139 	EXP 	window1: blendMode = 'avg'
295.1307 	EXP 	window1: blendMode = 'avg'
295.1470 	EXP 	window1: blendMode = 'avg'
295.1636 	EXP 	window1: blendMode = 'avg'
295.1803 	EXP 	window1: blendMode = 'avg'
295.1969 	EXP 	window1: blendMode = 'avg'
295.2135 	EXP 	window1: blendMode = 'avg'
295.2304 	EXP 	window1: blendMode = 'avg'
295.2468 	EXP 	window1: blendMode = 'avg'
295.2636 	EXP 	window1: blendMode = 'avg'
295.2806 	EXP 	window1: blendMode = 'avg'
295.2972 	EXP 	window1: blendMode = 'avg'
295.3135 	EXP 	window1: blendMode = 'avg'
295.3302 	EXP 	window1: blendMode = 'avg'
295.3475 	EXP 	window1: blendMode = 'avg'
295.3634 	EXP 	window1: blendMode = 'avg'
295.3811 	EXP 	window1: blendMode = 'avg'
295.3977 	EXP 	window1: blendMode = 'avg'
295.4146 	EXP 	window1: blendMode = 'avg'
295.4310 	EXP 	window1: blendMode = 'avg'
295.4478 	EXP 	window1: blendMode = 'avg'
295.4645 	EXP 	window1: blendMode = 'avg'
295.4812 	EXP 	window1: blendMode = 'avg'
295.4975 	EXP 	window1: blendMode = 'avg'
295.5146 	EXP 	window1: blendMode = 'avg'
295.5317 	EXP 	window1: blendMode = 'avg'
295.5480 	EXP 	window1: blendMode = 'avg'
295.5650 	EXP 	window1: blendMode = 'avg'
295.5812 	EXP 	window1: blendMode = 'avg'
295.5990 	EXP 	window1: blendMode = 'avg'
295.6150 	EXP 	window1: blendMode = 'avg'
295.6323 	EXP 	window1: blendMode = 'avg'
295.6475 	EXP 	window1: blendMode = 'avg'
295.6641 	EXP 	window1: blendMode = 'avg'
295.6809 	EXP 	window1: blendMode = 'avg'
295.6975 	EXP 	window1: blendMode = 'avg'
295.7141 	EXP 	window1: blendMode = 'avg'
295.7309 	EXP 	window1: blendMode = 'avg'
295.7476 	EXP 	window1: blendMode = 'avg'
295.7643 	EXP 	window1: blendMode = 'avg'
295.7807 	EXP 	window1: blendMode = 'avg'
295.7960 	EXP 	window1: blendMode = 'avg'
295.8130 	EXP 	window1: blendMode = 'avg'
295.8296 	EXP 	window1: blendMode = 'avg'
295.8463 	EXP 	window1: blendMode = 'avg'
295.8631 	EXP 	window1: blendMode = 'avg'
295.8797 	EXP 	window1: blendMode = 'avg'
295.8964 	EXP 	window1: blendMode = 'avg'
295.9133 	EXP 	window1: blendMode = 'avg'
295.9312 	EXP 	window1: blendMode = 'avg'
295.9476 	EXP 	window1: blendMode = 'avg'
295.9628 	EXP 	window1: blendMode = 'avg'
295.9796 	EXP 	window1: blendMode = 'avg'
295.9964 	EXP 	window1: blendMode = 'avg'
296.0140 	EXP 	window1: blendMode = 'avg'
296.0304 	EXP 	window1: blendMode = 'avg'
296.0472 	EXP 	window1: blendMode = 'avg'
296.0639 	EXP 	window1: blendMode = 'avg'
296.0826 	EXP 	window1: blendMode = 'avg'
296.0963 	EXP 	window1: blendMode = 'avg'
296.1129 	EXP 	window1: blendMode = 'avg'
296.1298 	EXP 	window1: blendMode = 'avg'
296.1458 	EXP 	window1: blendMode = 'avg'
296.1626 	EXP 	window1: blendMode = 'avg'
296.1796 	EXP 	window1: blendMode = 'avg'
296.1963 	EXP 	window1: blendMode = 'avg'
296.2130 	EXP 	window1: blendMode = 'avg'
296.2296 	EXP 	window1: blendMode = 'avg'
296.2469 	EXP 	window1: blendMode = 'avg'
296.2640 	EXP 	window1: blendMode = 'avg'
296.2805 	EXP 	window1: blendMode = 'avg'
296.2969 	EXP 	window1: blendMode = 'avg'
296.3140 	EXP 	window1: blendMode = 'avg'
296.3311 	EXP 	window1: blendMode = 'avg'
296.3471 	EXP 	window1: blendMode = 'avg'
296.3640 	EXP 	window1: blendMode = 'avg'
296.3802 	EXP 	window1: blendMode = 'avg'
296.3968 	EXP 	window1: blendMode = 'avg'
296.4134 	EXP 	window1: blendMode = 'avg'
296.4302 	EXP 	window1: blendMode = 'avg'
296.4468 	EXP 	window1: blendMode = 'avg'
296.4638 	EXP 	window1: blendMode = 'avg'
296.4804 	EXP 	window1: blendMode = 'avg'
296.4969 	EXP 	window1: blendMode = 'avg'
296.5134 	EXP 	window1: blendMode = 'avg'
296.5300 	EXP 	window1: blendMode = 'avg'
296.5467 	EXP 	window1: blendMode = 'avg'
296.5643 	EXP 	window1: blendMode = 'avg'
296.5802 	EXP 	window1: blendMode = 'avg'
296.5968 	EXP 	window1: blendMode = 'avg'
