time stamp,marker
3206082.770315644,[468]
3206083.271427482,[469]
3206083.271315644,[469]
3206083.77223286,[470]
3206083.771315644,[470]
3206084.27235776,[471]
3206084.272315644,[471]
3206084.77331703,[472]
3206084.772315644,[472]
3206085.273771593,[473]
3206085.273315644,[473]
3206085.774105086,[474]
3206085.773315644,[474]
3206086.274854304,[475]
3206086.274315644,[475]
3206086.775445984,[476]
3206086.775315644,[476]
3206087.275579272,[477]
3206087.275315644,[477]
3206087.776349641,[478]
3206087.776315644,[478]
3206088.276912148,[479]
3206088.276315644,[479]
3206088.777361241,[480]
3206088.777315644,[480]
3206089.277658631,[481]
3206089.277315644,[481]
3206089.777688717,[482]
3206089.777315644,[482]
3206090.277943075,[483]
3206090.277315644,[483]
3206090.778120123,[484]
3206090.777315644,[484]
3206091.279001718,[485]
3206091.2783156442,[485]
3206091.779614914,[486]
3206091.779315644,[486]
3206092.280426126,[487]
3206092.280315644,[487]
3206092.780607915,[488]
3206092.780315644,[488]
3206093.281119368,[489]
3206093.280315644,[489]
3206093.781338353,[490]
3206093.781315644,[490]
3206094.28144976,[491]
3206094.281315644,[491]
3206094.78224748,[492]
3206094.781315644,[492]
3206095.283151684,[493]
3206095.282315644,[493]
3206095.783296276,[494]
3206095.782315644,[494]
3206096.284092173,[495]
3206096.283315644,[495]
3206096.784171124,[496]
3206096.783315644,[496]
3206097.28443934,[497]
3206097.284315644,[497]
3206097.785191841,[498]
3206097.784315644,[498]
3206098.285657709,[499]
3206098.285315644,[499]
3206098.786542221,[500]
3206098.786315644,[500]
3206099.286640865,[501]
3206099.286315644,[501]
3206099.787151588,[502]
3206099.786315644,[502]
3206100.288008384,[503]
3206100.287315644,[503]
3206100.788913682,[504]
3206100.788315644,[504]
3206101.289920724,[505]
3206101.289315644,[505]
3206101.790015721,[506]
3206101.789315644,[506]
3206102.290638398,[507]
3206102.290315644,[507]
3206102.791284414,[508]
3206102.790315644,[508]
3206103.291338203,[509]
3206103.291315644,[509]
3206103.791708528,[510]
3206103.791315644,[510]
3206104.292532869,[511]
3206104.292315644,[511]
3206104.792636618,[512]
3206104.792315644,[512]
3206105.292819136,[513]
3206105.292315644,[513]
3206105.792869643,[514]
3206105.792315644,[514]
3206106.292897905,[515]
3206106.292315644,[515]
3206106.793941414,[516]
3206106.793315644,[516]
3206107.294836866,[517]
3206107.294315644,[517]
3206107.795641879,[518]
3206107.7953156442,[518]
3206108.295909001,[519]
3206108.2953156442,[519]
3206108.796449627,[520]
3206108.796315644,[520]
3206109.296989889,[521]
3206109.296315644,[521]
3206109.797532703,[522]
3206109.797315644,[522]
3206110.297658697,[523]
3206110.297315644,[523]
3206110.79815848,[524]
3206110.797315644,[524]
3206111.298450035,[525]
3206111.298315644,[525]
3206111.79871351,[526]
3206111.798315644,[526]
3206112.29909441,[527]
3206112.298315644,[527]
3206112.799695936,[528]
3206112.799315644,[528]
3206113.300504961,[529]
3206113.300315644,[529]
3206113.800579172,[530]
3206113.800315644,[530]
3206114.30085067,[531]
3206114.300315644,[531]
3206114.801222088,[532]
3206114.800315644,[532]
3206115.301897643,[533]
3206115.301315644,[533]
3206115.802172423,[534]
3206115.801315644,[534]
3206116.302636104,[535]
3206116.302315644,[535]
3206116.803440387,[536]
3206116.803315644,[536]
3206117.304281868,[537]
3206117.303315644,[537]
3206117.804740078,[538]
3206117.804315644,[538]
3206118.305015223,[539]
3206118.304315644,[539]
3206118.805474892,[540]
3206118.805315644,[540]
3206119.306246355,[541]
3206119.305315644,[541]
3206119.806991198,[542]
3206119.806315644,[542]
3206120.307497545,[543]
3206120.307315644,[543]
3206120.807823744,[544]
3206120.807315644,[544]
3206121.308323891,[545]
3206121.308315644,[545]
3206121.809252893,[546]
3206121.808315644,[546]
3206122.310319011,[547]
3206122.309315644,[547]
3206122.81024553,[548]
3206122.809315644,[548]
3206123.310568082,[549]
3206123.310315644,[549]
3206123.81135158,[550]
3206123.811315644,[550]
3206124.312032969,[551]
3206124.311315644,[551]
3206124.812695396,[552]
3206124.812315644,[552]
3206125.313572249,[553]
3206125.313315644,[553]
3206125.813836819,[554]
